id,county_name,county_fips,case_count,average_income
0,FULTON,39051.0,10252,62645.25
1,PERRY,39127.0,8227,46837.666666666664
2,LORAIN,39093.0,66176,60454.666666666664
3,HOLMES,39075.0,5074,61370.4
4,HOCKING,39073.0,6580,55489.0
5,LAKE,39085.0,48506,63737.63636363636
6,MIAMI,39109.0,25494,52090.0
7,FRANKLIN,39049.0,287016,62849.561983471074
8,HIGHLAND,39071.0,10683,52334.0
9,TUSCARAWAS,39157.0,20473,51392.27272727273
10,TRUMBULL,39155.0,41358,51019.08
11,ADAMS,39001.0,6854,44505.0
12,MEDINA,39103.0,39883,79247.14285714286
13,SENECA,39147.0,12648,55373.0
14,STARK,39151.0,79523,61600.27027027027
15,WARREN,39165.0,57412,81776.0
16,HURON,39077.0,14425,56250.0
17,FAIRFIELD,39045.0,38257,62857.666666666664
18,SUMMIT,39153.0,111693,65486.446153846155
19,MARION,39101.0,19776,57404.25
20,COSHOCTON,39031.0,7893,46669.6
21,RICHLAND,39139.0,31413,54463.692307692305
22,WILLIAMS,39171.0,8970,52287.42857142857
23,HANCOCK,39063.0,16969,67983.75
24,BROWN,39015.0,11075,57645.0
25,MAHONING,39099.0,53048,50352.51724137931
26,LICKING,39089.0,41565,57300.125
27,MERCER,39107.0,9609,70017.75
28,UNION,39159.0,15574,67536.85714285714
29,MORROW,39117.0,7662,70704.33333333333
30,PUTNAM,39137.0,8384,63945.6
31,OTTAWA,39123.0,8411,69552.83333333333
32,DELAWARE,39041.0,44094,89077.5
33,CARROLL,39019.0,5177,53332.0
34,MADISON,39097.0,9607,79988.4
35,PICKAWAY,39129.0,17342,56764.0
36,LUCAS,39095.0,99399,52540.44642857143
37,KNOX,39083.0,13050,51020.6
38,SCIOTO,39145.0,20543,52208.416666666664
39,ATHENS,39009.0,14435,48365.57142857143
40,PORTAGE,39133.0,32446,60088.57142857143
41,ROSS,39141.0,19114,57761.75
42,MEIGS,39105.0,4556,49897.8
43,BELMONT,39013.0,15625,56323.75
44,JEFFERSON,39081.0,14591,53928.142857142855
45,ALLEN,39003.0,27089,58090.916666666664
46,CLARK,39023.0,34855,57098.88888888889
47,JACKSON,39079.0,8823,39918.25
48,MONTGOMERY,39113.0,126586,55469.36666666667
49,CLINTON,39027.0,10272,57797.0
50,ERIE,39043.0,19332,58682.333333333336
51,LOGAN,39091.0,10145,51840.0
52,GEAUGA,39055.0,15888,83221.90909090909
53,CRAWFORD,39033.0,11114,47621.63636363636
54,GUERNSEY,39059.0,10376,55251.8
55,WAYNE,39169.0,23050,54174.583333333336
56,HAMILTON,39061.0,185162,65218.919191919194
57,HARDIN,39065.0,7027,57462.8
58,SANDUSKY,39143.0,13817,58090.833333333336
59,CHAMPAIGN,39021.0,8635,57237.25
60,CLERMONT,39025.0,51229,74081.57894736843
61,ASHTABULA,39007.0,19115,48029.92857142857
62,DARKE,39037.0,12315,58598.1
63,ASHLAND,39005.0,11845,55994.875
64,GALLIA,39053.0,7431,56163.0
65,PREBLE,39135.0,9409,54188.333333333336
66,COLUMBIANA,39029.0,24282,51998.3125
67,BUTLER,39017.0,91170,65253.13888888889
68,WOOD,39173.0,31366,64079.57142857143
69,CUYAHOGA,39035.0,266444,58115.82738095238
70,WASHINGTON,39167.0,12227,50920.88888888889
71,WYANDOT,39175.0,5312,55022.5
72,SHELBY,39149.0,10943,62333.4
73,DEFIANCE,39039.0,10126,53358.25
74,HENRY,39069.0,6355,63925.833333333336
75,PIKE,39131.0,7363,35606.0
76,LAWRENCE,39087.0,17805,54906.666666666664
77,GREENE,39057.0,37326,69150.85714285714
78,MUSKINGUM,39119.0,25209,49036.555555555555
79,FAYETTE,39047.0,7729,50611.6
80,AUGLAIZE,39011.0,11523,65211.88888888889
